ID_Appels,Taxonomie_Code,Taxonomie_Nom,Besoins comble,Raison_besoin_non_comble,ID_Besoins
82721953,BD-1800.2000,Banques alimentaires,False,,23365009
82749692,BD-1800.2000,Banques alimentaires,False,,23372741
82756689,BD-1800.2000,Banques alimentaires,False,,23375191
82771851,BD-1800.2000,Banques alimentaires,False,,23379262
82772233,BD-1800.2000,Banques alimentaires,False,,23379208
82773156,BD-1800.2000,Banques alimentaires,False,,23379871
82773558,BD-1800.2000,Banques alimentaires,False,,23380123
82779679,BD-1800.2000,Banques alimentaires,False,,23383959
82781471,BD-1800.2000,Banques alimentaires,False,,23384675
82785397,BD-1800.2000,Banques alimentaires,False,,23386824
82785623,BD-1800.2000,Banques alimentaires,False,,23386926
82794370,BD-1800.2000,Banques alimentaires,False,,23391835
82817665,BD-1800.2000,Banques alimentaires,False,,23399912
82818462,BD-1800.2000,Banques alimentaires,False,,23400304
82819024,BD-1800.2000,Banques alimentaires,False,,23400534
82820758,BD-1800.2000,Banques alimentaires,False,,23401799
82828210,BD-1800.2000,Banques alimentaires,False,,23405794
82830938,BD-1800.2000,Banques alimentaires,False,,23407491
82833136,BD-1800.2000,Banques alimentaires,False,,23408740
82834594,BD-1800.2000,Banques alimentaires,False,,23409886
82834741,BD-1800.2000,Banques alimentaires,False,,23410128
82836735,BD-1800.2000,Banques alimentaires,False,,23411209
82838879,BD-1800.2000,Banques alimentaires,False,,23412217
82842186,BD-1800.2000,Banques alimentaires,False,,23414200
82842300,BD-1800.2000,Banques alimentaires,False,,23413972
82843532,BD-1800.2000,Banques alimentaires,False,,23414639
82863327,BD-1800.2000,Banques alimentaires,False,,23420825
82864947,BD-1800.2000,Banques alimentaires,False,,23421805
82866360,BD-1800.2000,Banques alimentaires,False,,23422437
82868185,BD-1800.2000,Banques alimentaires,False,,23423783
82868428,BD-1800.2000,Banques alimentaires,False,,23423608
82869584,BD-1800.2000,Banques alimentaires,False,,23424322
82870746,BD-1800.2000,Banques alimentaires,False,,23425086
82870982,BD-1800.2000,Banques alimentaires,False,,23425248
82872216,BD-1800.2000,Banques alimentaires,False,,23425774
82876967,BD-1800.2000,Banques alimentaires,False,,23428514
82878032,BD-1800.2000,Banques alimentaires,False,,23429193
82878572,BD-1800.2000,Banques alimentaires,False,,23429356
82881478,BD-1800.2000,Banques alimentaires,False,,23430879
